Date,LTP,Change,High,Low,Open,Quantity,Turnover
2024-04-09,315.00,-1.56,320.00,307.00,318.00,"19,008","5,960,593.10"
2024-04-10,303.00,-3.81,319.00,302.00,319.00,"28,508","8,711,352.10"
2024-04-14,305.00,0.66,313.00,299.00,299.00,"16,063","4,918,019.50"
2024-04-15,297.00,-2.62,306.00,295.10,301.00,"23,202","6,951,292.30"
2024-04-16,295.00,-0.67,302.00,291.40,292.00,"4,010","1,180,143.90"
2024-04-18,285.00,-3.39,297.40,283.10,295.00,"12,978","3,713,223.50"
2024-04-21,291.40,2.25,295.00,280.00,280.00,"5,721","1,640,535.80"
2023-06-07,294.00,-2.33,307.00,290.00,302.00,"17,835","5,266,941.00"
2023-06-08,285.70,-2.82,294.00,285.30,294.00,"3,881","1,119,993.10"
2023-06-11,305.70,7,305.70,280.00,280.00,"8,338","2,449,109.50"
2023-06-12,302.90,-0.92,309.90,294.00,304.00,"13,955","4,140,030.00"
2023-06-13,298.00,-1.62,310.00,291.50,297.00,"13,378","4,076,815.80"
2023-06-14,300.00,0.67,309.00,295.00,295.00,"8,144","2,455,817.50"
2023-06-15,298.00,-0.67,300.00,290.00,295.00,"4,035","1,182,461.00"
2023-06-18,305.00,2.35,312.00,288.10,292.10,"7,974","2,410,803.60"
2023-06-19,299.90,-1.67,311.10,298.00,305.00,"7,002","2,098,006.00"
2023-06-20,295.80,-1.37,305.00,290.00,305.00,"7,153","2,116,961.60"
2023-06-21,285.00,-3.65,306.00,279.60,295.00,"25,266","7,206,653.50"
2023-06-22,275.00,-3.51,290.00,275.00,280.00,"6,984","1,953,628.20"
2023-06-25,285.20,3.71,301.90,270.00,280.00,"17,397","4,962,801.10"
2023-06-26,282.50,-0.95,297.50,280.10,285.50,"1,800","512,596.70"
2023-06-27,288.00,1.95,292.90,272.00,276.90,"4,170","1,190,180.50"
2023-06-28,287.00,-0.35,288.00,277.00,282.30,"2,710","771,440.00"
2023-07-02,273.10,-4.84,291.50,270.50,281.30,"8,404","2,313,459.00"
2023-07-03,273.00,-0.04,285.00,265.10,270.00,"3,865","1,048,033.50"
2023-07-04,269.80,-1.17,283.90,268.00,278.40,"2,770","746,309.00"
2023-07-05,263.30,-2.41,271.00,261.10,265.00,"5,527","1,464,475.20"
2023-07-06,267.00,1.41,267.00,259.70,261.50,"4,790","1,250,842.80"
2023-07-09,270.00,1.12,272.00,262.00,262.00,"1,415","378,215.10"
2023-07-10,266.00,-1.48,275.00,261.00,264.60,"2,362","623,390.00"
2023-07-11,261.00,-1.88,264.00,258.00,261.00,"4,491","1,173,351.00"
2023-07-12,273.90,4.94,274.00,259.10,265.00,"4,755","1,279,880.00"
2023-07-13,265.00,-3.25,279.30,265.00,279.30,"7,884","2,114,654.40"
2023-07-16,261.10,-1.47,265.00,260.10,260.10,"1,260","329,853.30"
2023-07-17,268.70,2.91,268.70,260.00,260.00,"2,159","570,204.00"
2023-07-18,268.90,0.07,269.00,264.00,269.00,"3,430","910,738.00"
2023-07-19,268.00,-0.33,276.90,262.00,274.20,"2,950","786,915.50"
2023-07-20,273.00,1.87,293.00,262.00,265.00,"7,324","1,982,585.80"
2023-07-23,278.30,1.94,278.40,266.10,267.80,"4,573","1,247,620.30"
2023-07-24,272.00,-2.26,283.00,269.00,275.00,"3,660","1,006,473.00"
2023-07-25,268.40,-1.32,277.00,268.00,268.00,885,"238,488.00"
2023-07-26,266.00,-0.89,280.00,264.00,268.40,"4,225","1,145,529.50"
2023-07-27,264.00,-0.75,266.00,260.70,266.00,"1,691","445,658.50"
2023-07-30,261.30,-1.02,266.50,259.00,259.00,"1,190","311,863.00"
2023-07-31,261.00,-0.11,272.00,260.00,260.10,"2,802","745,557.00"
2023-08-01,257.00,-1.53,261.00,257.00,257.00,"2,585","666,570.00"
2023-08-02,256.00,-0.39,259.00,254.10,254.10,"1,209","309,637.60"
2023-08-03,260.00,1.56,268.00,253.10,256.00,955,"248,168.00"
2023-08-06,250.20,-3.77,260.00,247.00,260.00,"4,540","1,149,857.00"
2023-08-07,248.50,-0.68,260.10,245.80,245.80,990,"247,133.00"
2023-08-08,249.00,0.2,252.90,245.00,245.00,"2,568","636,310.00"
2023-08-09,252.00,1.2,263.00,244.20,244.30,"2,709","669,050.90"
2023-08-10,251.00,-0.4,259.90,247.00,257.00,"1,055","265,707.50"
2023-08-13,246.50,-1.79,249.00,245.00,246.00,"1,421","350,505.00"
2023-08-14,240.00,-2.64,247.00,240.00,242.40,"5,810","1,415,461.00"
2023-08-15,235.90,-1.71,242.00,233.80,242.00,"3,417","807,980.80"
2023-08-16,233.00,-1.23,238.00,230.10,238.00,"2,045","475,006.50"
2023-08-17,233.00,0,237.00,228.70,228.70,"1,165","269,225.00"
2023-08-20,222.00,-4.72,229.70,221.50,229.00,"7,281","1,634,240.20"
2023-08-21,223.10,0.5,225.00,219.00,219.00,"2,076","463,495.50"
2023-08-22,228.00,2.2,228.00,220.00,220.00,"1,123","251,818.00"
2023-08-23,234.60,2.89,234.60,223.50,223.50,"3,000","696,883.50"
2023-08-24,225.00,-4.09,232.00,225.00,232.00,"1,320","301,043.00"
2023-08-27,220.10,-2.18,221.50,220.10,221.00,780,"172,015.00"
2023-08-28,229.40,4.23,229.50,219.10,219.10,"6,236","1,382,721.50"
2023-08-29,224.00,-2.35,230.00,218.00,230.00,"3,495","778,810.00"
2023-08-30,215.70,-3.71,224.00,212.00,219.60,"5,428","1,182,888.40"
2023-09-03,211.00,-2.18,215.70,194.40,213.00,"9,531","1,938,949.00"
2023-09-04,207.00,-1.9,207.00,193.00,206.80,"9,931","1,946,607.80"
2023-09-05,193.60,-6.47,202.90,191.00,202.90,"9,127","1,772,468.50"
2023-09-07,176.40,-8.88,205.00,176.40,190.00,"18,999","3,584,804.20"
2023-09-10,194.00,9.98,194.00,179.00,179.00,"8,299","1,589,623.00"
2023-09-11,200.00,3.09,203.90,188.00,197.00,"10,095","1,939,978.30"
2023-09-12,196.80,-1.6,200.00,190.00,200.00,"1,943","376,674.00"
2023-09-13,202.00,2.64,203.80,191.50,200.00,"6,000","1,186,962.50"
2023-09-17,191.90,-5,199.50,188.20,199.50,"6,605","1,270,059.50"
2023-09-18,189.00,-1.51,197.60,188.10,190.00,"3,770","718,318.00"
2023-09-19,204.50,8.2,207.90,185.50,190.00,"6,576","1,320,443.20"
2023-09-21,224.90,9.98,224.90,206.10,208.00,"15,368","3,355,102.50"
2023-09-24,213.00,-5.29,226.00,213.00,225.00,"5,591","1,221,513.00"
2023-09-25,214.00,0.47,222.30,209.00,209.00,"7,620","1,645,543.50"
2023-09-26,227.00,6.07,231.50,211.10,211.10,"7,333","1,622,120.10"
2023-09-27,220.00,-3.08,228.00,218.30,225.00,"2,796","618,065.00"
2023-10-01,209.00,-5,224.00,208.00,216.10,"6,780","1,439,379.00"
2023-10-02,220.00,5.26,220.50,205.10,205.10,"6,419","1,377,950.00"
2023-10-03,216.00,-1.82,216.00,211.50,215.60,"1,360","290,307.50"
2023-10-04,220.00,1.85,220.00,212.00,220.00,"4,865","1,056,119.00"
2023-10-05,218.00,-0.91,222.30,213.90,215.60,"2,403","517,067.00"
2023-10-08,211.00,-3.21,218.00,209.60,218.00,"3,860","820,798.00"
2023-10-09,210.00,-0.47,212.00,205.10,207.00,"2,455","512,423.00"
2023-10-10,206.00,-1.9,208.00,196.00,205.80,"5,582","1,128,139.60"
2023-10-11,207.90,0.92,213.00,200.00,202.00,"3,272","672,032.80"
2023-10-12,200.00,-3.8,208.00,197.50,208.00,"3,331","668,273.00"
2023-10-16,198.00,-1,201.00,197.00,200.00,"2,555","507,735.00"
2023-10-17,201.00,1.52,206.00,200.00,200.00,"6,172","1,258,115.50"
2023-10-18,202.00,0.5,208.00,199.20,201.00,"3,899","792,990.60"
2023-10-19,201.70,-0.15,205.00,199.10,199.10,510,"103,534.00"
2023-10-29,195.00,-3.32,198.00,194.20,198.00,540,"105,680.50"
2023-10-30,194.10,-0.46,196.00,189.60,193.00,"2,150","412,562.00"
2023-10-31,193.00,-0.57,197.90,192.00,192.10,680,"131,731.00"
2023-11-01,198.00,2.59,198.00,190.00,190.00,"1,860","358,645.50"
2023-11-02,193.40,-2.32,217.40,191.20,194.10,"1,977","387,477.00"
2023-11-05,192.00,-0.72,196.80,189.90,189.90,990,"190,378.00"
2023-11-06,198.20,3.23,198.20,188.00,189.00,830,"161,622.00"
2023-11-07,200.00,0.91,202.10,194.40,194.40,"1,770","352,849.00"
2023-11-08,197.00,-1.5,199.90,196.00,196.00,"1,020","201,012.00"
2023-11-09,192.00,-2.54,200.00,191.00,194.00,860,"166,653.00"
2023-06-07,294.00,-2.33,307.00,290.00,302.00,"17,835","5,266,941.00"
2023-06-08,285.70,-2.82,294.00,285.30,294.00,"3,881","1,119,993.10"
2023-06-11,305.70,7,305.70,280.00,280.00,"8,338","2,449,109.50"
2023-06-12,302.90,-0.92,309.90,294.00,304.00,"13,955","4,140,030.00"
2023-06-13,298.00,-1.62,310.00,291.50,297.00,"13,378","4,076,815.80"
