0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
384,2024091801020925,NABIL,16,57,10,556.10,"5,561.00"
385,2024091801020916,NABIL,28,4,100,557.00,"55,700.00"
386,2024091801020706,NABIL,58,38,217,558.00,"121,086.00"
387,2024091801021525,NABIL,34,38,50,557.00,"27,850.00"
388,2024091801021439,NABIL,32,38,10,558.00,"5,580.00"
389,2024091801021306,NABIL,45,60,200,556.10,"111,220.00"
390,2024091801021182,NABIL,58,60,150,556.20,"83,430.00"
391,2024091801021141,NABIL,42,38,100,558.00,"55,800.00"
392,2024091801021021,NABIL,32,38,10,558.00,"5,580.00"
393,2024091801021717,NABIL,41,38,66,556.00,"36,696.00"
394,2024091801021716,NABIL,42,38,20,556.50,"11,130.00"
395,2024091801021715,NABIL,45,38,139,556.50,"77,353.50"
396,2024091801021626,NABIL,41,38,20,558.00,"11,160.00"
397,2024091801021594,NABIL,35,60,300,557.00,"167,100.00"
398,2024091801021528,NABIL,45,7,61,556.50,"33,946.50"
399,2024091801021917,NABIL,1,58,10,557.90,"5,579.00"
400,2024091801021818,NABIL,6,35,130,558.00,"72,540.00"
401,2024091801021817,NABIL,6,42,70,558.00,"39,060.00"
402,2024091801021720,NABIL,19,38,108,556.00,"60,048.00"
403,2024091801021719,NABIL,55,38,10,556.00,"5,560.00"
404,2024091801021718,NABIL,49,38,100,556.00,"55,600.00"
405,2024091801021924,NABIL,57,60,61,556.00,"33,916.00"
406,2024091801021923,NABIL,38,60,100,556.00,"55,600.00"
407,2024091801021922,NABIL,48,60,50,556.00,"27,800.00"
408,2024091801021921,NABIL,50,60,10,556.00,"5,560.00"
409,2024091801021920,NABIL,56,60,50,556.00,"27,800.00"
410,2024091801021919,NABIL,19,60,79,556.00,"43,924.00"
411,2024091801022140,NABIL,42,57,50,558.00,"27,900.00"
412,2024091801022139,NABIL,42,6,24,558.00,"13,392.00"
413,2024091801022076,NABIL,42,6,276,558.00,"154,008.00"
414,2024091801022075,NABIL,42,35,364,558.00,"203,112.00"
415,2024091801022074,NABIL,42,58,160,557.90,"89,264.00"
416,2024091801022052,NABIL,32,58,10,557.90,"5,579.00"
417,2024091801022146,NABIL,42,1,42,558.90,"23,473.80"
418,2024091801022145,NABIL,42,36,20,558.50,"11,170.00"
419,2024091801022144,NABIL,42,5,58,558.50,"32,393.00"
420,2024091801022143,NABIL,42,49,50,558.00,"27,900.00"
421,2024091801022142,NABIL,42,6,185,558.00,"103,230.00"
422,2024091801022141,NABIL,42,58,68,558.00,"37,944.00"
423,2024091801022705,NABIL,21,60,17,557.00,"9,469.00"
424,2024091801022616,NABIL,32,47,10,558.00,"5,580.00"
425,2024091801022165,NABIL,34,51,10,556.00,"5,560.00"
426,2024091801022164,NABIL,38,51,50,556.00,"27,800.00"
427,2024091801022163,NABIL,57,51,36,556.00,"20,016.00"
428,2024091801022147,NABIL,42,26,73,559.00,"40,807.00"
429,2024091801022938,NABIL,34,41,40,558.00,"22,320.00"
430,2024091801022937,NABIL,34,41,224,557.50,"124,880.00"
431,2024091801022811,NABIL,55,60,10,557.00,"5,570.00"
432,2024091801022712,NABIL,39,41,10,558.00,"5,580.00"
433,2024091801022711,NABIL,39,47,40,558.00,"22,320.00"
434,2024091801022706,NABIL,29,60,50,557.00,"27,850.00"
435,2024091801023060,NABIL,43,16,17,557.00,"9,469.00"
436,2024091801023019,NABIL,43,19,133,557.00,"74,081.00"
437,2024091801022982,NABIL,13,60,10,556.20,"5,562.00"
438,2024091801022981,NABIL,49,60,10,556.20,"5,562.00"
439,2024091801022940,NABIL,34,19,76,558.00,"42,408.00"
440,2024091801022939,NABIL,34,7,100,558.00,"55,800.00"
441,2024091801023151,NABIL,38,60,20,557.00,"11,140.00"
442,2024091801023148,NABIL,57,60,50,557.00,"27,850.00"
