0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
197,2024091504024515,NGPL,18,66,600,456.00,"273,600.00"
198,2024091504024514,NGPL,18,39,300,456.00,"136,800.00"
199,2024091504024472,NGPL,56,58,500,455.20,"227,600.00"
200,2024091504024467,NGPL,56,60,50,455.20,"22,760.00"
201,2024091504024892,NGPL,13,32,150,456.40,"68,460.00"
202,2024091504024817,NGPL,45,39,400,456.30,"182,520.00"
203,2024091504024805,NGPL,26,47,"1,427",456.00,"650,712.00"
204,2024091504024804,NGPL,39,47,500,456.10,"228,050.00"
205,2024091504024803,NGPL,39,47,65,456.20,"29,653.00"
206,2024091504024770,NGPL,39,36,435,456.20,"198,447.00"
207,2024091504024999,NGPL,56,34,417,456.00,"190,152.00"
208,2024091504024998,NGPL,49,34,35,456.00,"15,960.00"
209,2024091504024997,NGPL,26,34,573,456.00,"261,288.00"
210,2024091504024996,NGPL,45,34,600,456.30,"273,780.00"
211,2024091504024995,NGPL,13,34,215,456.40,"98,126.00"
212,2024091504024914,NGPL,13,49,10,456.40,"4,564.00"
213,2024091504025090,NGPL,90,35,100,455.10,"45,510.00"
214,2024091504025089,NGPL,43,35,500,455.30,"227,650.00"
215,2024091504025088,NGPL,58,35,85,455.50,"38,717.50"
216,2024091504025072,NGPL,58,58,50,455.50,"22,775.00"
217,2024091504025001,NGPL,25,34,10,456.00,"4,560.00"
218,2024091504025000,NGPL,25,34,10,456.00,"4,560.00"
219,2024091504025118,NGPL,39,34,445,455.00,"202,475.00"
220,2024091504025096,NGPL,58,34,"1,000",455.00,"455,000.00"
221,2024091504025095,NGPL,55,34,10,455.00,"4,550.00"
222,2024091504025094,NGPL,50,34,200,455.00,"91,000.00"
223,2024091504025093,NGPL,45,34,"1,345",455.00,"611,975.00"
224,2024091504025091,NGPL,45,35,315,455.00,"143,325.00"
225,2024091504025154,NGPL,58,32,200,454.00,"90,800.00"
226,2024091504025153,NGPL,58,41,100,454.00,"45,400.00"
227,2024091504025152,NGPL,58,35,"1,000",454.00,"454,000.00"
228,2024091504025128,NGPL,58,35,900,454.00,"408,600.00"
229,2024091504025127,NGPL,34,35,100,454.50,"45,450.00"
230,2024091504025119,NGPL,39,35,55,455.00,"25,025.00"
231,2024091504025408,NGPL,39,55,10,454.70,"4,547.00"
232,2024091504025305,NGPL,39,57,150,454.20,"68,130.00"
233,2024091504025289,NGPL,39,46,100,454.20,"45,420.00"
